,data
0,✅ Trip Verified |  Requested a gluten free meal and was given a regular meal. I even double checked at check in about my request and although the staff couldn’t see my request was told it will be fine which it wasn’t.
1,"Not Verified | Worst planes I have ever been in while taking an international flight. I took same flight from Melbourne to Delhi with in a span of two weeks and both times flight was same. Flight entertainment didn't work both times even though it is direct flight for 12.5hours, Mobile charging USB plugs didn't work and Flight crew went to sleep after serving breakfast. You can imagine the torture of sitting on tiny seat with no entertainment, no mobile phone and no service. When I raised concern with customer care, they first promised to fix it by giving me 200 FFF points but then I said I prefer better service and I am happy to donate my points, then they offered me 25% of of the total flights I took. But no, nothing was given. I sent emails twice to see progress but after 3 months, nothing has been done. I paid almost double coz it was a direct flight and both times it was torture."
2,"Not Verified | I have been flying for the past 21 years and never have I seen such a poorly conditioned International flight. Your flight was disgusting and dirty. The toilet situation was horrendous and had a disgusting smell all the time. Also, your entertainment service was not available for the entire 15 hr flight. The meals were exceptionally nasty and tasteless. It is such a shame to represent India with this kind of flight. The only part I was satisfied with was the service from one of your staff. She was kind and nice to everyone. I am not writing this review with the hope that you will address all your flight issues but at least I want you to acknowledge the horrible service you are providing."
3,"✅ Trip Verified | Sometime around 2017 I got the patriotism bug. After avoiding Air India like a plague for years, I decided to travel with Air India. Well the first time from SFO-CCU and back wasn’t bad. However, as the years have progressed, Air India has gotten progressively worse. Yes, Air India seems to have gotten worse after the takeover of Tata. Without recounting every horror story that I have about Air India, I will simply, and briefly share my experience with Air India flying back from CCU to EWR on June 30, 2023. As we got to the airport I was prepared for the rudeness. The staff members of Indigo, Spice, etc., seemed to be treating their customers in a friendly manner, however, Air India staff seemed just sad, and pathetic. So then we get on our flight from CCU to DEL. The food is inedible, the AC doesn’t seem to be working, and the flight attendants were missing for the rest of the flight. Okay, so then we get to Delhi. Now, I don’t if it’s just an attitude issue, perhaps something cultural, in Delhi, or Air India. But Air India staff there are not only rude but also just pathetically incompetent. Somehow, I got called in for “a secondary inspection.” Apparently having a Zippo (without fuel) is not allowed by CISF. Anyway, so after being harassed by them, I get back to the gate and the Air India staff has somehow lost my boarding pass, which they had kept when I went to see the CISF people. Instead of apologizing and reissuing a pass two Air India staff kept arguing with me that they don’t have my boarding pass. Finally, they find it. Again no apology. So, I being exhausted, get on the flight. This time I had made sure to get on the flight early, since on my way to Kolkata, they could not find a space for my cabin luggage so I had to store them in two different overhead bins. So I was relieved when I saw the overhead bins empty (I had booked extra legroom seats). However, the moment I start putting my luggage, an anxious flight attendant runs towards me and starts scolding me. I inform her that it was my seat and I will keep my luggage there. She proceeds to tell me that the overhead bin is reserved for “oversized baggage.” So at this point, I lose my cool. So, let me understand this, instead of enforcing the rule regarding baggage size and weight, like a normal airline, Air India has decided to punish passengers who ARE following the rule. Anyway I told the flight attendant that I will be keeping my bag where it is and that’s that. She mumbled something about people brining 4 bags instead of 2. Whatever! However, somehow this flight attendant seemed to be the one serving my seat for the whole 14 hour flight. As expected the in-flight entertainment system did not work. Funnily the guy seating beside me had his remote literally torn off from his seat. However, I regret eating the pathetic food that Air India provided. I kid you not, the salad they gave was literally rotten. Didn’t they know that Mayonnaise rots very easily, and DOES NOT need to be warmed up? What was worse than the food was that the same flight attendant kept pushing my buttons throughout the flight. At some point, like a good passenger I had kept my trash ready to be given back to the attendant after dinner. However, when the attendant came, she seemed agitated, gestured toward the front of the flight, and said “You can throw it in."
4,"Not Verified |  My flight was supposed to depart New Delhi at 2300hrs. It was first delayed until 0200hrs on the following day. Closer to the time, they delayed it further to 0500hrs. No reason provided. I am still at the airport in New Delhi. Do not know if they will delay it, most disappointed with this supposedly new era of Air India. In May 23 also travelled in this airline when we found the food on board was inedible and the inflight entertainment system was not working. It's was on the premium sector of London to New Delhi."
5,"✅ Trip Verified |  I took this early morning flight which at the time of booking was a pretty good reasonable rate. The online check in was done smoothly and at the airport the bag drop was also done well and swiftly. Boarding also started well on time and was surprised to note that this was a full flight at such an odd hour and the aircraft type was the bigger A321 for this sector. I had noticed that there was a passenger who was having slight difficulty but the crew was able to talk to her make her calm which was a good thing to see. Also surprisingly on this flight sector I had noticed that there were snacks being offered on this flight as previously on this sector they used to give only a sandwich. I had opted for the non veg refreshments which consisted of pasta with chicken along with a nice chocolate cake for dessert and the food quality was pretty good. Landing and arrival into BLR was also well ahead of time. However when the time came to collect the baggage, I had noticed that again the new bag tag which I had attached with my name was no longer present and this was a bag tag that I had just purchased recently and put. Even last week when I travelled from Kolkata to Mumbai even then my baggage tag was removed off, so it seems that Air India is having issues with my baggage tag and probably this is something that they need to look into. But other than that, this was a welcome flight and I am hoping that the next time I travel, they give refreshments service rather than the plain sandwich that they usually give."
6,"Not Verified | Flight to go to India was 9 hrs delayed. Today flew back to Italy 7 hrs delay. No service, nothing this is a company to really avoid! Most of international flights delayed. Bad company, never never use again."
7,"✅ Trip Verified |  I would like to express my gratitude for the excellent service provided by staff. The air hostesses, Praveet and Preeti, were exceptional in their duties and displayed a remarkable level of professionalism throughout the flight. While the overall service was commendable, I would like to bring to your attention a minor issue regarding the in-flight entertainment system. Unfortunately, the screens in our section were not working properly. "
8,"Not Verified | Bad experience. 2 long flights, 6 hours delay without compensation. On both flights, the sockets and the entertainment did not work. Not mine, nor the socket of the adjacent seats. The cabin staff is nice and pretends that the problem is solvable, but they seem pretty aware that it is not. For the delay, upon request, a ticket was provided for a lounge which was actually a loud café offering another meal very much like the one on the plane, and 0.33 ml water."
9,"✅ Trip Verified |  With Tata having purchased Air India and Air India being a Star Alliance partner I thought what could go wrong. My new name for Air India is Air Never Again. The seats, service, cleanliness and ticketing were all terrible. We flew nine carriers on our month-long trip. None of them were close to being as bad as Air India. The discount air carriers Scoop and Batik put Air India to shame. The direct competitors Singapore, United and Cathay were so far superior that you'd have to drug me and tie to a seat to ever get me to set foot on Air India again. The plane was filthy. The seats torture devices left over from the Middle Ages. My in-seat entertainment system was broken but functional. I pointed it out so that it might be serviced on the ground and got a, ""no, one cares shrug"". The service was non-existent. The flight attendants made two appearances and then were nowhere to be found after meal and drink service. They just disappeared while leaving water in the open galley. The food was the worst of any airline food I've eaten or tried to eat. The beverage service was miserly. Nope. One and done. Loved India. Been there several times. Will go again just not on Air India."
10,"✅ Trip Verified |  As I had booked this flight at a discount rate, I was a bit anxious about whether I would get a seat on this flight considering it was the weekend and planes have been flying full literally. To my surprise, I didn't have to wait for long in order to check in and get my boarding pass. The flight boarding and departure were on time and there were a few vacant seats. For breakfast I opted for the veg option which was consisting of an uttapam, sev upma, a croissant with mango yogurt which was pretty good. However, during the beverage service, I noticed that the staff were initially serving the front couple of rows but then due to turbulence they had to stop it midway but didn't bother to proactively ask the passengers for beverages when they were taking away the eating trays which was a surprise. Perhaps they might have just forgotten or due to the turbulence they had to stop it midway without asking passengers but either way that wasn't good. Arrival to Mumbai was on time however I had noticed that upon retrieval of my luggage, my baggage name tag that I had put had got torn out which was not good as previously back in January too they had misplaced my luggage and again they had not handled the baggage properly so this is something that they need to look into. I would still recommend as I got huge value for the fare that I paid."
11,"✅ Trip Verified | I travelled in direct flight from Toronto to Delhi with my brother on 26 June 2023. The entire plane smelled like public washroom. It was so disgusting. The entertainment screen was not working for me and my brother and for many more people. We informed the crew member and she assured it will be fixed soon. Two hours later when I asked them again, all they had to say was ""sorry, we tried but only technical person will be able to fix it"". The meal they served was not fresh. My brother had booked non-veg option for meal when booking tickets and he got vegetarian meal, that too, 1 hour late than others and had hair in it. When we asked the crew, she said their economy meal was over so they are serving whatever they could arrange. You guys are not even aware how many people are flying with you, forget the rest. WE PAID $2300 CAD for the ticket which I think was not worth it. This was probably my first and last flight with Air India. Never travelling again and won't even recommend it to anyone."
12,"✅ Trip Verified |  Unfortunately again experiencing this airline, and it’s air-conditioning not working. We all are sitting and waiting for more than 40 minutes in plane without air-conditioning right away. Again bad experience."
13,✅ Trip Verified |  Totally uncomfortable seats and again entertainment system is not working and even power outlet is not working. This is my 3rd trip and same all 3 times. Seems like this is my last flight with Air India. No value for money.
14,"✅ Trip Verified | I never write reviews, this is the first time I am giving my feedback. Me and my family were traveling to London last month by Air India. I would like to say that their Flights are really in bad conditions. Food was not cooked. Chicken they served was uncooked. TV screens were not working at all, while going to London only one screen was working from our row. But while returning back all three screens were not in a working condition. Also I had ordered a kids meal for my baby, but they also forgot that. If we had called them for any assistance there was nobody there to help. Staff were in their own world. I will never recommend this airline to anybody."
15,✅ Trip Verified |  Worst quality of food provided. The paneer roll was uncooked and not baked properly. No tray for breakfast was given. No tissue paper was given. No water in urinals.
16,"Not Verified |  Worst flight. First time I travel on Air India and this will be the last time. Food quality is the worst, no entertainment, screens are not working for almost 50 percent of flight and the the response from air hostess is they will provide magazines to read. They dont keep the washrooms clean for a 15 hour flight. I would say never travel Air India."
17,"Not Verified |  Just dreading my return flight to Melbourne on Air India, a junk airline that does not have any in-flight equipment working. No entertainment, no call lights, no seat reclining. A personal message to avoid Air India even if given free tickets. Gone are the days of the Maharaja of the skies."
18,"Not Verified |  In flight staff are unprofessional and none of the things (charging point, entertainment screen, no proper ventilation) are working in-flight. Airport ground staffs were equally unprofessional! They keep on asking stranded passengers to follow them unknowingly without proper and definitive reasons and explanations. HIGH miscommunication levels between staffs and passengers. Zero empathy and even shouted at passengers for not following their orders. Flights were delayed, cancelled, changed to a new flight, delayed again. A terrible nightmare."
19,"Not Verified |  Reached 3 hours prior to departure time. Took more than 45 minutes for baggage check in due to less staff at the check in counters Even after repeated feedback, nothing was done Disappointed!"
20,"✅ Trip Verified | I had the opportunity to travel on AI flights twice in the last 3 months during my trips to India. I haven't been adventurous enough to try them out international as I've heard my share of horror stories. I'm going to base my review on the 2 Pune-Delhi flights I've taken in this period. Booking: AI fares were similar or cheaper than the corresponding fares on no frills airlines. AI is full service. Which means 25 kgs of check-in luggage and meals served on-board. A huge win right away. Online booking was easy and not complicated compared to some top notch international airlines sites. Rating: 10/10 Check In: The check-in counter for AI literally had no queues while the rest of the airlines had long ones. That did make me somewhat nervous the first time. As it turns out eventually, the flights both times were completely full so I have no idea how they managed to avoid queues at check-in. Maybe fewer flights? Nevertheless, the check-in agent was quick, efficient, polite, addressed me properly by name and directed me to my gate. I was out and about in no time - both times. No complaints. Rating: 10/10 Boarding: Boarding commenced 10 mins later than scheduled. On both the flights I took. However the boarding process was quick and smooth and the lot of us were on board in no time. Rating: 8/10 Crew: On both occasions, the cabin stewards / stewardesses were polite, efficient and thoroughly professional. Albeit the first flight, they weren't overly keen to smile. On the second flight, they were in the finest spirits they could possibly be and literally went overboard to please. A very very warm welcome and top notch crew experience. 10/10 The craft: This was an older A320. Not the Neo version. Strangely, there was a defunct screen on the back of the seat in front of me and I had (non working) screen controls. None of the others did. I guess, they reused some seats from other aircraft. The seat pitch was pretty comparable to other domestic carriers. At 5ft7, I had decent enough knee room. But the seat width - that was definitely a bonus. Wider than economy seats in not just other domestic flights, but much wider than the seats in many international long hauls on the newer A350s and B787s. That made a huge impact and I did not have to fight it out with my co-passenger for rights over the arm rest. Of course, the cabin did look a bit dated with some scuff marks on the plastics. But it was all clean and the colour scheme was uplifting. Rating: 7/10 Meals: Dinner was served. Chicken korma with rice and some veggies. Some yoghurt and a brownie cake. Was decent fare. Served with steel cutlery. Thank you AI! International carriers make note, it's criminal to serve food with plastic cutlery. Why do you do it? The cutlery looked a big light and flimsy and I did a stress test, it was actually quite rigid and strong. Well done. Service was quick and as efficient as how I was getting used to by now. 8/10 Punctuality: Both times on AI, the flight took off ahead of schedule and reached New Delhi 30-35 mins ahead of schedule! I repeat - 30-35 mins ahead of schedule. On a flight that had a flying time of about 2 hrs!! This is serious WOW. Super impressed. 10/10! Extras: Throughout the trip, I kept getting emails and SMSs from AI with status updates on departure gates and other bits and bobs of info. I even got alerts for when my bags were loaded onto the aircraft. Who does that?! Whopping 10/10 Overall: An overwhelmingly surprised 10/10."
21,"Not Verified |  There was a 2hr baggage clearance at Mumbai connection. This caused us to miss the flight, and reschedule it for next day. The hotel and food are horrible. Next day again the rescheduled flight was delayed for couple of hours due to technical issues. Worst experience ever, and I will not recommend anyone to board an Air India flight. The staffs and support center has no experience handling these situations."
22,✅ Trip Verified | The airline seats are absolutely atrocious. The seat fabric is filthy so much so that I didn't want to sit on it. But when I did I realised the seat backs are just flat cardboard and wood. Far worse than the seats on Chennai's local buses. I was really shocked and disgusted and won't ever fly Air India again.
23,"Not Verified | The flight legroom was good, that the only positive side I could remember. The service is horrible, food and drink menu absolutely rubbish. So selection for non-veg. More over the food not even pack individually, serving like buffet. When web check in not even give option to choose meal type. I don't know the cabin crew do feedback to company. This is not one time my parents travelled up and down Cochin to Gatwick had same service, not all human beings are potato and lentil eaters."
24,"Not Verified | Worst Airlines and worst customer support. My flight got cancelled 2 days before departure and I was not even sent a notification or message or any email regarding the same. I had contacted the customer care about problem of not being able to check in, it was then they told me. They didn't even care enough to book another flight just initiated the refund, but now I have to bear that additional cost of booking another flight at last minute."
25,"✅ Trip Verified |  Worst experience. After making us sit inside the plane they announced that flight delayed by one hour due to congestion, no news after even two hours and then started giving us excuses like ground staff clearance and after 6 hours sitting in the plane they started fueling. There were a lot of arguments in the plane with staff and ground clearance but they never listened. Most probably they did not have to fuel or their was an issue between pilot and ground staff as the pilot after being coerced after nearly 4 hours of no response from him announced that ground staff will speak. The pilot never came out of the cockpit to speak to the passengers, never seen such kind of chaos. Will never fly air india"
26,"Not Verified |  The web check-in was harrowing, they disabled the default free seat that was assigned after selecting another seat, and there was no way to return to the default option. This is a bit of a scam when one is forced to pay for a seat equivalent to the auto-assigned seat. The customer service was of no help at all."
27,Not Verified |  Air India now owned by Tatas but overall service and customer experience still lacking and poor. I travelled from Singapore to Bangalore and then boarded Air India. The flight left my baggage at Bangalore and I had to waste 2 hrs in Mumbai airport. I was told that in my baggage side pocket there was a lighter. I acknowledged and appreciated their promptness. On my return the flight was again delayed by 2 hrs. Someone opened my bag and lifted it. The food served inflight during lunch was also pathetic. I had planned to have my lunch in Bangalore however due to a delay had to rely on Air India. I just had sweet yogurt and returned the rest. Thank you for landing me safely.
28,"✅ Trip Verified |  Overall good customer service, quick check-in, 3 meals on Syd - Del sector and one meal Del - BOM sector. Staff were attentive and courteous. decent leg space. Normally 787 has a high level of humidity and moisture but these aircraft were very dry don't know did they change the settings as a result you feel quite dry on these flights. I was lucky my entertainment unit worked but the volume is always high. The aircraft was clean, but their bathroom stinks. Except for the bathroom and entertainment, all went well."
29,"✅ Trip Verified |  With mechanical fault they held passengers for nearly 4 hours on flight, then authority did not get any responsibility over them. Still no replacement flight when I am writing this review."
